contract_id,intent_text,intent_label,behavior_label,final_label,reviewer_notes
contract_020,"(no NatSpec/comments extracted; see functions: PrivateBank, Deposit, CashOut, AddMessage)",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_021,"/**

 * @title SafeMath

 * @dev Math operations with safety checks that throw on error

 */
/**

   * @dev The Ownable constructor sets the original `owner` of the contract to the sender

   * account.

   */
/**

   * @dev Throws if called by any account other than the owner.

   */
/**

   * @dev Allows the current owner to transfer control of the contract to a newOwner.

   * @param newOwner The address to transfer ownership to.

   */
// assert(b > 0); // Solidity automatically throws when dividing by 0
// assert(a == b * c + a % b); // There is no case in which this doesn't hold",,,safe,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_022,// Copyright 2017 Bittrex,,,safe,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_023,"/**

 * @dev Wrappers over Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        s recommended to use it always.

 */
/**

     * @dev Returns the addition of two unsigned integers, reverting on

     * overflow.

     *

     * Counterpart to Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                      s `-` operator.

     *

     * Requirements:

     * - Subtraction cannot overflow.

     */
/**

     * @dev Returns the subtraction of two unsigned integers, reverting with custom message on

     * overflow (when the result is negative).

     *

     * Counterpart to Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   s `*` operator.

     *

     * Requirements:

     * - Multiplication cannot overflow.

     */
/**

     * @dev Returns the integer division of two unsigned integers. Reverts on

     * division by zero. The result is rounded towards zero.

     *

     * Counterpart to Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             s `/` operator. Note: this function uses a

     * `revert` opcode (which leaves remaining gas untouched) while Solidity

     * uses an invalid opcode to revert (consuming all remaining gas).

     *

     * Requirements:

     * - The divisor cannot be zero.

     *

     * _Available since v2.4.0._

     */
/**

     * @dev Returns the remainder of dividing two unsigned integers. (unsigned integer modulo),

     * Reverts with custom message when dividing by zero.

     *

     * Counterpart to Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           s `transfer`: sends `amount` wei to

     * `recipient`, forwarding all available gas and reverting on errors.

     *

     * https://eips.ethereum.org/EIPS/eip-1884[EIP1884] increases the gas cost

     * of certain opcodes, possibly making contracts go over the 2300 gas limit

     * imposed by `transfer`, making them unable to receive funds via

     * `transfer`. {sendValue} removes this limitation.

     *

     * https://diligence.consensys.net/posts/2019/09/stop-using-soliditys-transfer-now/[Learn more].

     *

     * IMPORTANT: because control is transferred to `recipient`, care must be

     * taken to not create reentrancy vulnerabilities. Consider using

     * {ReentrancyGuard} or the

     * https://solidity.readthedocs.io/en/v0.5.11/security-considerations.html#use-the-checks-effects-interactions-pattern[checks-effects-interactions pattern].

     */
/**

     * @dev Performs a Solidity function call using a low level `call`. A

     * plain`call` is an unsafe replacement for a function call: use this

     * function instead.

     *

     * If `target` reverts with a revert reason, it is bubbled up by this

     * function (like regular Solidity function calls).

     *

     * Returns the raw returned data. To convert to the expected return value,

     * use https://solidity.readthedocs.io/en/latest/units-and-global-variables.html?highlight=abi.decode#abi-encoding-and-decoding-functions[`abi.decode`].

     *

     * Requirements:

     *

     * - `target` must be a contract.

     * - calling `target` with `data` must not revert.

     *

     * _Available since v3.1._

     */
/**

     * @dev Same as {xref-Address-functionCall-address-bytes-}[`functionCall`], but with

     * `errorMessage` as a fallback revert reason when `target` reverts.

     *

     * _Available since v3.1._

     */
/**

     * @dev Same as {xref-Address-functionCall-address-bytes-}[`functionCall`],

     * but also transferring `value` wei to `target`.

     *

     * Requirements:

     *

     * - the calling contract must have an ETH balance of at least `value`.

     * - the called Solidity function must be `payable`.

     *

     * _Available since v3.1._

     */
/**

     * @dev Same as {xref-Address-functionCallWithValue-address-bytes-uint256-}[`functionCallWithValue`], but

     * with `errorMessage` as a fallback revert reason when `target` reverts.

     *

     * _Available since v3.1._

     */
/**

 * @dev Interface of the ERC20 standard as defined in the EIP. Does not include

 * the optional functions; to access them see {ERC20Detailed}.

 */
/**

     * @dev Returns the amount of tokens in existence.

     */
/**

     * @dev Returns the amount of tokens owned by `account`.

     */
/**

     * @dev Moves `amount` tokens from the caller                      ",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_024,"/**

       * 

        *

        *           ███████╗███████╗██████╗░██████╗░███████╗██╗░░░░░██╗███╗░░██╗

        *           ╚════██║██╔════╝██╔══██╗██╔══██╗██╔════╝██║░░░░░██║████╗░██║

        *           ░░███╔═╝█████╗░░██████╔╝██████╔╝█████╗░░██║░░░░░██║██╔██╗██║

        *           ██╔══╝░░██╔══╝░░██╔═══╝░██╔═══╝░██╔══╝░░██║░░░░░██║██║╚████║

        *           ███████╗███████╗██║░░░░░██║░░░░░███████╗███████╗██║██║░╚███║

        *           ╚══════╝╚══════╝╚═╝░░░░░╚═╝░░░░░╚══════╝╚══════╝╚═╝╚═╝░░╚══╝

    */
/**   

    * 📄 Site: https://www.zeppelin.icu/

    * 📨 TG: https://t.me/Zeppelincom

    */
/** 

    * @dev Provides information about the current execution context, including the

     * sender of the transaction and its data. While these are generally available

     * via msg.sender and msg.data, they should not be accessed in such a direct

     * manner, since when dealing with meta-transactions the account sending and

     * paying for execution may not be the actual sender (as far as an application

     * is concerned).

     *

     * This contract is only required for intermediate, library-like contracts.

     */
/**

     * @dev Sets `amount` as the allowance of `spender` over the caller                                                                                                                                                                                                                                                                                                                                                                                                       s allowance to 0 and set the

     * desired value afterwards

     * Emits an {Approval} event.

     */
/**

     * Constrctor function

     *

     * Initializes contract with initial supply tokens to the creator of the contract

     */
/**

     * @dev Replacement for Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  s account to `recipient`.

     *

     * Returns a boolean value indicating whether the operation succeeded.

     *

     * Emits a {Transfer} event.

     */
/**

     * @dev Returns the remaining number of tokens that `spender` will be

     * allowed to spend on behalf of `owner` through {transferFrom}. This is

     * zero by default.

     *

     * This value changes when {approve} or {transferFrom} are called.

     */
/**

     * Constrctor function

     *

     * Initializes contract with initial supply tokens to the creator of the contract

     */
/**

     * @dev Replacement for Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           t required by the specification.

 *

 * Finally, the non-standard {decreaseAllowance} and {increaseAllowance}

 * functions have been added to mitigate the well-known issues around setting

 * allowances. See {IERC20-approve}.

 */
/**

    function swapAndLiquify(uint256 contractTokenBalance) private lockTheSwap {

        // split the contract balance into halves

        uint256 half = contractTokenBalance.div(2);

        uint256 otherHalf = contractTokenBalance.sub(half);



        // capture the contract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_025,"/**

 * Contract that exposes the needed erc20 token functions

 */
/**

 * Contract that will forward any incoming Ether to its creator

 */
/**

   * Create the contract, and set the destination address to that of the creator

   */
/**

   * Modifier that will execute internal code block only if the sender is a parent of the forwarder contract

   */
/**

   * Default function; Gets called when Ether is deposited, and forwards it to the destination address

   */
/**

   * Execute a token transfer of the full balance from the forwarder token to the main wallet contract

   * @param tokenContractAddress the address of the erc20 token contract

   */
/**

   * It is possible that funds were sent to this address before the contract was deployed.

   * We can flush those funds to the destination address.

   */
/**

 * Basic multi-signer wallet designed for use in a co-signing environment where 2 signatures are required to move funds.

 * Typically used in a 2-of-3 signing configuration. Uses ecrecover to allow for 2 signatures in a single transaction.

 */
/**

   * Modifier that will execute internal code block only if the sender is an authorized signer on this wallet

   */
/**

   * Set up a simple multi-sig wallet by specifying the signers allowed to be used on this wallet.

   * 2 signers will be required to send a transaction from this wallet.

   * Note: The sender is NOT automatically added to the list of signers.

   * Signers CANNOT be changed once they are set

   *

   * @param allowedSigners An array of signers on the wallet

   */
/**

   * Gets called when a transaction is received without calling a method

   */
/**

   * Create a new contract (and also address) that forwards funds to this contract

   * returns address of newly created forwarder address

   */
/**

   * Execute a multi-signature transaction from this wallet using 2 signers: one from msg.sender and the other from ecrecover.

   * The signature is a signed form (using eth.sign) of tightly packed toAddress, value, data, expireTime and sequenceId

   * Sequence IDs are numbers starting from 1. They are used to prevent replay attacks and may not be repeated.

   *

   * @param toAddress the destination address to send an outgoing transaction

   * @param value the amount in Wei to be sent

   * @param data the data to send to the toAddress when invoking the transaction

   * @param expireTime the number of seconds since 1970 for which this transaction is valid

   * @param sequenceId the unique sequence id obtainable from getNextSequenceId

   * @param signature the result of eth.sign on the operationHash sha3(toAddress, value, data, expireTime, sequenceId)

   */
/**

   * Execute a multi-signature token transfer from this wallet using 2 signers: one from msg.sender and the other from ecrecover.

   * The signature is a signed form (using eth.sign) of tightly packed toAddress, value, tokenContractAddress, expireTime and sequenceId

   * Sequence IDs are numbers starting from 1. They are used to prevent replay attacks and may not be repeated.

   *

   * @param toAddress the destination address to send an outgoing transaction

   * @param value the amount in tokens to be sent

   * @param tokenContractAddress the address of the erc20 token contract

   * @param expireTime the number of seconds since 1970 for which this transaction is valid

   * @param sequenceId the unique sequence id obtainable from getNextSequenceId

   * @param signature the result of eth.sign on the operationHash sha3(toAddress, value, tokenContractAddress, expireTime, sequenceId)

   */
/**

   * Execute a token flush from one of the forwarder addresses. This transfer needs only a single signature and can be done by any signer

   *

   * @param forwarderAddress the address of the forwarder address to flush the tokens from

   * @param tokenContractAddress the address of the erc20 token contract

   */
/**

   * Do common multisig verification for both eth sends and erc20token transfers

   *

   * @param toAddress the destination address to send an outgoing transaction

   * @param operationHash the sha3 of the toAddress, value, data/tokenContractAddress and expireTime

   * @param signature the tightly packed signature of r, s, and v as an array of 65 bytes (returned by eth.sign)

   * @param expireTime the number of seconds since 1970 for which this transaction is valid

   * @param sequenceId the unique sequence id obtainable from getNextSequenceId

   * returns address of the address to send tokens or eth to

   */
/**

   * Irrevocably puts contract into safe mode. When in this mode, transactions may only be sent to signing addresses.

   */
/**

   * Determine if an address is a signer on this wallet

   * @param signer address to check

   * returns boolean indicating whether address is signer or not

   */
/**

   * Gets the second signer's address using ecrecover

   * @param operationHash the sha3 of the toAddress, value, data/tokenContractAddress and expireTime

   * @param signature the tightly packed signature of r, s, and v as an array of 65 bytes (returned by eth.sign)

   * returns address recovered from the signature

   */
/**

   * Verify that the sequence id has not been used before and inserts it. Throws if the sequence ID was not accepted.

   * We collect a window of up to 10 recent sequence ids, and allow any sequence id that is not in the window and

   * greater than the minimum element in the window.

   * @param sequenceId to insert into array of stored ids

   */
/**

   * Gets the next available sequence ID for signing when using executeAndConfirm

   * returns the sequenceId one higher than the highest currently stored

   */
// Send _value amount of tokens to address _to
// Get the account balance of another account with address _owner
// Address to which any funds sent to this contract will be forwarded
// The contract address of the token
// Amount of token sent
// Fire off the deposited event if we can forward it
// Events
// Address of the sender of the message initiating the transaction
// Address of the signer (second signature) used to initiate the transaction
// Operation hash (sha3 of toAddress, value, data, expireTime, sequenceId)
// The address the transaction was sent to
// Amount of Wei sent to the address
// Data sent when invoking the transaction
// Address of the sender of the message initiating the transaction
// Address of the signer (second signature) used to initiate the transaction
// Operation hash (sha3 of toAddress, value, tokenContractAddress, expireTime, sequenceId)
// The address the transaction was sent to
// Amount of token sent
// The contract address of the token
// Public fields
// The addresses that can co-sign transactions on the wallet
// When active, wallet may only send to signer addresses
// Internal fields
// Invalid number of signers
// Fire deposited event if we are receiving funds
// Verify the other signer
// Success, send the transaction
// Failed executing transaction
// Verify the other signer
// Verify if we are in safe mode. In safe mode, the wallet can only send to signers
// We are in safe mode and the toAddress is not a signer. Disallow!
// Verify that the transaction has not expired
// Transaction expired
// Try to insert the sequence ID. Will throw if the sequence id was invalid
// Other signer not on this wallet or operation does not match arguments
// Cannot approve own transaction
// Iterate through all signers on the wallet and
// We need to unpack the signature, which is given as an array of 65 bytes (from eth.sign)
// Ethereum versions are 27 or 28 as opposed to 0 or 1 which is submitted by some signing libs
// Keep a pointer to the lowest value element in the window
// This sequence ID has been used before. Disallow!
// The sequence ID being used is lower than the lowest value in the window
// so we cannot accept it as it may have been used before
// Block sequence IDs which are much higher than the lowest",,,safe,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_026,"/**

       .:

      / )

     ( (

      \ )

    ._(/_.

    |___%|

     | %|

     | %|

     | %|

    .|_%|.

    | ()%|

 .__|___%|__.

 |      ___%|_

 |_____(____  )

           ( (

            \                          ._______.-





https://bunsenburnerinu.com	

https://t.me/bunsenburnerinu	

https://twitter.com/Bunsenburnerinu

*/
//bunsenburnerinu.com
//t.me/bunsenburnerinu
//twitter.com/Bunsenburnerinu
// SPDX-License-Identifier: UNLICENSED
// Cooldown",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_027,"// SmallRoulette
//
// Guess the number secretly stored in the blockchain and win the whole contract balance!
// A new number is randomly chosen after each try.
//
// To play, call the play() method with the guessed number (1-5).  Bet price: 0.1 ether
// randomly set secretNumber with a value between 1 and 5
// win!",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_028,"/// @title Interface for contracts conforming to ERC-721: Non-Fungible Tokens
/// @author Dieter Shirley <dete@axiomzen.co> (https://github.com/dete)
// This contract only defines a modifier but does not use
// it - it will be used in derived contracts.
// The function body is inserted where the special symbol
//      in the definition of a modifier appears.
// This means that if the owner calls this function, the
// function is executed and otherwise, an exception is
// thrown.
// Required methods
// Events
// Optional
// function name() public view returns (string name);
// function symbol() public view returns (string symbol);
// function tokensOfOwner(address _owner) external view returns (uint256[] tokenIds);
// function tokenMetadata(uint256 _tokenId, string _preferredTransport) public view returns (string infoUrl);
// ERC-165 Compatibility (https://github.com/ethereum/EIPs/issues/165)
// this is the fallback function; it is called whenever the contract receives ether
// forward that ether onto the contract owner immediately
// and emit the EtherReceived event in case anyone is watching it
// this can be called by anyone (who wants to pay for gas), but that                                                                  s account. it sweeps the entire ether balance
// this can only be called by the owner. it sends some amount of an ERC-20 token to some address
// like sweep(), this can be called by anyone. it sweeps the full balance of an ERC-20 token to the owner's account
// for cryptokitties etc",,,safe,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_029,"// SPDX-License-Identifier: UNLICENSED
// Cooldown",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_030,// Copyright 2017 Bittrex,,,safe,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_031,"/**

// SPDX-License-Identifier: Unlicensed



It                                                  s why here                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           s account to `recipient`.

     *

     * Returns a boolean value indicating whether the operation succeeded.

     *

     * Emits a {Transfer} event.

     */
/**

     * @dev Returns the remaining number of tokens that `spender` will be

     * allowed to spend on behalf of `owner` through {transferFrom}. This is

     * zero by default.

     *

     * This value changes when {approve} or {transferFrom} are called.

     */
/**

     * @dev Sets `amount` as the allowance of `spender` over the caller                                                                                                                                                                                                                                                                                                                                                                                                       s allowance to 0 and set the

     * desired value afterwards:

     * https://github.com/ethereum/EIPs/issues/20#issuecomment-263524729

     *

     * Emits an {Approval} event.

     */
/**

     * @dev Moves `amount` tokens from `sender` to `recipient` using the

     * allowance mechanism. `amount` is then deducted from the caller                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_032,"// solhint-disable-next-line no-inline-assembly
// solhint-disable-previous-line no-empty-blocks
// Solidity only automatically asserts when dividing by 0
// solhint-disable-next-line avoid-low-level-calls
// Return data is optional
// solhint-disable-next-line max-line-length
//go the white address first
// init code hash",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_033,"/**

 * @title SafeMath

 * @dev Math operations with safety checks that throw on error

 */
/**

   * @dev The Ownable constructor sets the original `owner` of the contract to the sender

   * account.

   */
/**

   * @dev Throws if called by any account other than the owner.

   */
/**

   * @dev Allows the current owner to transfer control of the contract to a newOwner.

   * @param newOwner The address to transfer ownership to.

   */
// assert(b > 0); // Solidity automatically throws when dividing by 0
// assert(a == b * c + a % b); // There is no case in which this doesn't hold",,,safe,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_034,"/**

 * @title SafeMath

 */
/**

    * @dev Subtracts two numbers, reverts on overflow (i.e. if subtrahend is greater than minuend).

    */
/**

    * @dev Adds two numbers, reverts on overflow.

    */
/**

        reset owner

    **/
/**

     * Constructor function

     *

     * Initializes contract with initial supply tokens to the creator of the contract

     */
/**

        batch transfer , can only call by owner

    **/
/**

     * Internal transfer, only can be called by this contract

     */
/**

     * Transfer tokens

     *

     * Send `_value` tokens to `_to` from your account

     *

     * @param _to The address of the recipient

     * @param _value the amount to send

     */
/**

     * Transfer tokens from other address

     *

     * Send `_value` tokens to `_to` on behalf of `_from`

     *

     * @param _from The address of the sender

     * @param _to The address of the recipient

     * @param _value the amount to send

     */
/**

     * Set allowance for other address

     *

     * Allows `_spender` to spend no more than `_value` tokens on your behalf

     *

     * @param _spender The address authorized to spend

     * @param _value the max amount they can spend

     */
/**

        freeze account

     **/
/**

     * Set allowance for other address and notify

     *

     * Allows `_spender` to spend no more than `_value` tokens on your behalf, and then ping the contract about it

     *

     * @param _spender The address authorized to spend

     * @param _value the max amount they can spend

     * @param _extraData some extra information to send to the approved contract

     */
/**

     * Destroy tokens

     *

     * Remove `_value` tokens from the system irreversibly

     *

     * @param _value the amount of money to burn

     */
/**

     * Destroy tokens from other account

     *

     * Remove `_value` tokens from the system irreversibly on behalf of `_from`.

     *

     * @param _from the address of the sender

     * @param _value the amount of money to burn

     */
///@notice check if the msgSender is owner
// Public variables of the token
// 18 decimals is the strongly suggested default, avoid changing it
// the owner of this contract
// block list
// This creates an array with all balances
// This generates a public event on the blockchain that will notify clients
// This generates a public event on the blockchain that will notify clients
// This notifies clients about the amount burnt
// This notifies contract owner has changed
// Update total supply with the decimal amount
// Give the creator all initial tokens
// Set the name for display purposes
// Set the symbol for display purposes
// Check allowance
// Check if the sender has enough
// Subtract from the sender
// Updates totalSupply
// Check if the targeted balance is enough
// Check allowance
// Subtract from the targeted balance
// Subtract from the sender's allowance
// Update totalSupply",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_035,// Copyright 2017 Bittrex,,,safe,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
contract_036,"/**

 * @dev Wrappers over Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        s recommended to use it always.

 */
/**

     * @dev Returns the addition of two unsigned integers, reverting on

     * overflow.

     *

     * Counterpart to Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                      s `-` operator.

     *

     * Requirements:

     * - Subtraction cannot overflow.

     */
/**

     * @dev Returns the subtraction of two unsigned integers, reverting with custom message on

     * overflow (when the result is negative).

     *

     * Counterpart to Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   s `*` operator.

     *

     * Requirements:

     * - Multiplication cannot overflow.

     */
/**

     * @dev Returns the integer division of two unsigned integers. Reverts on

     * division by zero. The result is rounded towards zero.

     *

     * Counterpart to Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             s `/` operator. Note: this function uses a

     * `revert` opcode (which leaves remaining gas untouched) while Solidity

     * uses an invalid opcode to revert (consuming all remaining gas).

     *

     * Requirements:

     * - The divisor cannot be zero.

     *

     * _Available since v2.4.0._

     */
/**

     * @dev Returns the remainder of dividing two unsigned integers. (unsigned integer modulo),

     * Reverts with custom message when dividing by zero.

     *

     * Counterpart to Solidity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           s `transfer`: sends `amount` wei to

     * `recipient`, forwarding all available gas and reverting on errors.

     *

     * https://eips.ethereum.org/EIPS/eip-1884[EIP1884] increases the gas cost

     * of certain opcodes, possibly making contracts go over the 2300 gas limit

     * imposed by `transfer`, making them unable to receive funds via

     * `transfer`. {sendValue} removes this limitation.

     *

     * https://diligence.consensys.net/posts/2019/09/stop-using-soliditys-transfer-now/[Learn more].

     *

     * IMPORTANT: because control is transferred to `recipient`, care must be

     * taken to not create reentrancy vulnerabilities. Consider using

     * {ReentrancyGuard} or the

     * https://solidity.readthedocs.io/en/v0.5.11/security-considerations.html#use-the-checks-effects-interactions-pattern[checks-effects-interactions pattern].

     */
/**

     * @dev Performs a Solidity function call using a low level `call`. A

     * plain`call` is an unsafe replacement for a function call: use this

     * function instead.

     *

     * If `target` reverts with a revert reason, it is bubbled up by this

     * function (like regular Solidity function calls).

     *

     * Returns the raw returned data. To convert to the expected return value,

     * use https://solidity.readthedocs.io/en/latest/units-and-global-variables.html?highlight=abi.decode#abi-encoding-and-decoding-functions[`abi.decode`].

     *

     * Requirements:

     *

     * - `target` must be a contract.

     * - calling `target` with `data` must not revert.

     *

     * _Available since v3.1._

     */
/**

     * @dev Same as {xref-Address-functionCall-address-bytes-}[`functionCall`], but with

     * `errorMessage` as a fallback revert reason when `target` reverts.

     *

     * _Available since v3.1._

     */
/**

     * @dev Same as {xref-Address-functionCall-address-bytes-}[`functionCall`],

     * but also transferring `value` wei to `target`.

     *

     * Requirements:

     *

     * - the calling contract must have an ETH balance of at least `value`.

     * - the called Solidity function must be `payable`.

     *

     * _Available since v3.1._

     */
/**

     * @dev Same as {xref-Address-functionCallWithValue-address-bytes-uint256-}[`functionCallWithValue`], but

     * with `errorMessage` as a fallback revert reason when `target` reverts.

     *

     * _Available since v3.1._

     */
/**

 * @dev Interface of the ERC20 standard as defined in the EIP. Does not include

 * the optional functions; to access them see {ERC20Detailed}.

 */
/**

     * @dev Returns the amount of tokens in existence.

     */
/**

     * @dev Returns the amount of tokens owned by `account`.

     */
/**

     * @dev Moves `amount` tokens from the caller                      ",,,rugpull,PENDING: human review required per docs/ANNOTATION_PROTOCOL.md (initialized from seed).
